skeptycal/data-science-ipython-notebooks	Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines.	public, fork	2018-09-14T21:32:57Z
skeptycal/data-scientist-roadmap	Toturial coming with "data science roadmap" graphe.	public, fork	2018-12-21T05:31:49Z
skeptycal/data-visuals-guides	A collection of guides for the Texas Tribune Data Visuals team.	public, fork	2018-07-18T21:55:54Z
skeptycal/data.table	R's data.table package extends data.frame:	public, fork	2018-10-25T20:04:46Z
skeptycal/data_analysis	Sandbox Space for Data Analysis Side Projects	public, fork	2018-03-15T22:46:36Z
skeptycal/data_mining	Data Mining Lecture Assignments	public, fork	2016-12-22T16:29:01Z
skeptycal/dataviz	A book covering the fundamentals of data visualization.	public, fork	2018-10-12T12:01:51Z
skeptycal/datawrapper	An open source data visualization platform helping everyone to create simple, correct and embeddable charts in minutes.	public, fork	2022-03-30T01:33:54Z
skeptycal/deep-histopath	A deep learning approach to predicting breast tumor proliferation scores for the TUPAC16 challenge	public, fork	2018-06-06T06:31:02Z
skeptycal/deepchem	Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology	public, fork	2018-11-18T20:59:19Z
skeptycal/deepquor	quoridor AI	public, fork	2017-06-16T17:19:55Z
skeptycal/design-patterns-for-humans	An ultra-simplified explanation to design patterns	public, fork	2018-10-13T16:07:57Z
skeptycal/dev-setup	macOS development environment setup: Easy-to-understand instructions with automated setup scripts for developer tools like Vim, Sublime Text, Bash, iTerm, Python data analysis, Spark, Hadoop MapReduce, AWS, Heroku, JavaScript web development, Android development, common data stores, and dev-based OS X defaults.	public, fork	2018-06-30T21:32:46Z
skeptycal/dev-workstation		public, fork	2018-06-18T06:20:18Z
skeptycal/devtools	Tools to make an R developer's life easier	public, fork	2018-10-24T18:29:35Z
skeptycal/dicom	⚡High Performance DICOM Medical Image Parser in Go.	public, fork	2021-12-17T19:27:10Z
skeptycal/django	The Web framework for perfectionists with deadlines.	public, fork	2019-09-15T16:28:00Z
skeptycal/docker	Chef Cookbook for Docker	public, fork	2018-10-10T19:11:07Z
